week_start,source_group,weekly_leads,weekly_inscriptions,weekly_conversion_rate
2025-01-06,Campañas Pagadas,9,1,11.11
2025-01-06,Partners/Referidos,1,0,0.0
2025-01-06,Otros/Desconocido,2,0,0.0
2025-01-13,Tráfico Orgánico,3,0,0.0
2025-01-13,Campañas Pagadas,16,0,0.0
2025-01-13,Otros/Desconocido,1,0,0.0
2025-01-20,Tráfico Orgánico,4,0,0.0
2025-01-20,Campañas Pagadas,15,1,6.67
2025-01-20,Partners/Referidos,2,1,50.0
2025-01-27,Tráfico Orgánico,5,0,0.0
2025-01-27,Campañas Pagadas,14,1,7.14
2025-01-27,Partners/Referidos,5,0,0.0
2025-01-27,Otros/Desconocido,1,0,0.0
2025-02-03,Campañas Pagadas,12,2,16.67
2025-02-03,Otros/Desconocido,1,0,0.0
2025-02-10,Tráfico Orgánico,2,0,0.0
2025-02-10,Campañas Pagadas,13,2,15.38
2025-02-10,Otros/Desconocido,4,0,0.0
2025-02-17,Tráfico Orgánico,2,0,0.0
2025-02-17,Campañas Pagadas,14,2,14.29
2025-02-17,Partners/Referidos,2,0,0.0
2025-02-17,Otros/Desconocido,4,1,25.0
2025-02-24,Tráfico Orgánico,2,0,0.0
2025-02-24,Campañas Pagadas,15,1,6.67
2025-02-24,Partners/Referidos,2,0,0.0
2025-02-24,Otros/Desconocido,3,0,0.0
2025-03-03,Tráfico Orgánico,2,0,0.0
2025-03-03,Campañas Pagadas,13,2,15.38
2025-03-03,Partners/Referidos,2,0,0.0
2025-03-03,Otros/Desconocido,2,0,0.0
2025-03-10,Tráfico Orgánico,2,0,0.0
2025-03-10,Campañas Pagadas,15,3,20.0
2025-03-10,Partners/Referidos,4,0,0.0
2025-03-10,Otros/Desconocido,3,0,0.0
2025-03-17,Campañas Pagadas,12,5,41.67
2025-03-17,Partners/Referidos,1,0,0.0
2025-03-17,Otros/Desconocido,4,0,0.0
2025-03-24,Tráfico Orgánico,1,0,0.0
2025-03-24,Campañas Pagadas,13,0,0.0
2025-03-24,Partners/Referidos,6,1,16.67
2025-03-24,Otros/Desconocido,1,0,0.0
2025-03-31,Tráfico Orgánico,2,1,50.0
2025-03-31,Campañas Pagadas,15,1,6.67
2025-03-31,Partners/Referidos,1,0,0.0
2025-03-31,Otros/Desconocido,1,0,0.0
2025-04-07,Tráfico Orgánico,5,0,0.0
2025-04-07,Campañas Pagadas,14,1,7.14
2025-04-07,Partners/Referidos,2,0,0.0
2025-04-07,Otros/Desconocido,1,0,0.0
2025-04-14,Tráfico Orgánico,1,0,0.0
2025-04-14,Campañas Pagadas,16,0,0.0
2025-04-14,Partners/Referidos,3,0,0.0
2025-04-14,Otros/Desconocido,2,0,0.0
2025-04-21,Tráfico Orgánico,2,0,0.0
2025-04-21,Campañas Pagadas,14,1,7.14
2025-04-21,Partners/Referidos,3,0,0.0
2025-04-21,Otros/Desconocido,2,0,0.0
2025-04-28,Tráfico Orgánico,3,0,0.0
2025-04-28,Campañas Pagadas,24,1,4.17
2025-04-28,Partners/Referidos,1,0,0.0
2025-04-28,Otros/Desconocido,2,0,0.0
2025-05-05,Campañas Pagadas,14,0,0.0
2025-05-05,Otros/Desconocido,3,0,0.0
2025-05-12,Tráfico Orgánico,1,0,0.0
2025-05-12,Campañas Pagadas,11,2,18.18
2025-05-19,Tráfico Orgánico,4,2,50.0
2025-05-19,Campañas Pagadas,11,2,18.18
2025-05-26,Tráfico Orgánico,3,1,33.33
2025-05-26,Campañas Pagadas,16,3,18.75
2025-06-02,Campañas Pagadas,3,0,0.0
2025-06-02,Otros/Desconocido,1,0,0.0
